,11:1:12:2:13,9:10:7:6,3:5:4,8
Signature.1,0.0858351315581,0.399112514262,0.0437602749447,0.0
Signature.2,0.0,0.0210967449533,0.0,0.115238560782
Signature.3,0.52610448273,0.0,0.0250424219532,0.0
Signature.4,0.0274956114016,0.215423315643,0.0231353355938,0.055631431539
Signature.5,0.0,0.0,0.0411984034828,0.0
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.0516225166699,0.0,0.0,0.0602729593358
Signature.9,0.0489122300581,0.0128668911388,0.0,0.0
Signature.10,0.0,0.0113573493156,0.112204369642,0.0178827536995
Signature.11,0.0,0.0402519629225,0.0,0.0
Signature.12,0.0,0.0,0.0573589013216,0.0
Signature.13,0.0,0.0,0.0,0.0
Signature.14,0.0,0.0,0.0,0.0121772803954
Signature.15,0.0107722640589,0.0143328055681,0.0122854143728,0.0654893974739
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0508478579873,0.139104654979,0.0222903085775,0.0218174768214
Signature.18,0.0462599953355,0.0,0.153502304458,0.0
Signature.19,0.0121883968636,0.0,0.0406793467481,0.175372286937
Signature.20,0.020112232144,0.0400140952642,0.0,0.0
Signature.21,0.0,0.0,0.0128994296605,0.0649643286881
Signature.22,0.0,0.0297944007167,0.239178813535,0.0
Signature.23,0.0306298673407,0.0,0.0291075846875,0.0
Signature.24,0.0277275672899,0.0160279095129,0.0143530999177,0.0
Signature.25,0.0,0.0,0.135358424435,0.235246891423
Signature.26,0.0,0.0114576538807,0.0,0.0722845078121
Signature.27,0.0,0.049159701843,0.0,0.0679076517949
Signature.28,0.0252951220594,0.0,0.0225780720574,0.0160413494814
Signature.29,0.0,0.0,0.0,0.0196731238163
Signature.30,0.0361967245027,0.0,0.0150674946129,0.0
