,11,9:10:12,13:1:3:2:5:4:7:6:8
Signature.1,0.0,0.167145043266,0.135368282598
Signature.2,0.0,0.120533234699,0.0
Signature.3,0.0,0.018916655004,0.0
Signature.4,0.0,0.0,0.0847898256752
Signature.5,0.0,0.192547496704,0.113454271137
Signature.6,0.0,0.0,0.0
Signature.7,0.0,0.0206309812819,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0,0.0,0.0598435693129
Signature.10,0.0625079131249,0.0,0.0
Signature.11,0.0,0.0302072389368,0.105920315169
Signature.12,0.0,0.0237712047655,0.0
Signature.13,0.0840458459304,0.0267690679373,0.0
Signature.14,0.431135194848,0.0116133825875,0.0
Signature.15,0.0,0.0812882906624,0.0464016798149
Signature.16,0.0410945028014,0.0,0.0280103580143
Signature.17,0.141369481733,0.0,0.0576771190571
Signature.18,0.0,0.0140128913667,0.0
Signature.19,0.0,0.1628440031,0.0636019134264
Signature.20,0.0,0.0,0.0
Signature.21,0.0159100614162,0.0880168465886,0.0885660473045
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0,0.061442052399
Signature.24,0.0,0.0,0.0
Signature.25,0.150680209351,0.0,0.120853588164
Signature.26,0.0396430493645,0.0196078081773,0.0
Signature.27,0.0,0.0220958549228,0.0
Signature.28,0.0,0.0,0.0153630447307
Signature.29,0.0,0.0,0.0
Signature.30,0.0336137414304,0.0,0.0187079331977
