,11:10:13:1:3:2:5:4:7:6:9:8,12
Signature.1,0.180346774215,0.0
Signature.2,0.0796677194744,0.0
Signature.3,0.0,0.0
Signature.4,0.141036187865,0.0
Signature.5,0.0505858182179,0.0145479327258
Signature.6,0.0,0.147080748249
Signature.7,0.0,0.0266584282549
Signature.8,0.0,0.0
Signature.9,0.0,0.0
Signature.10,0.0291147546898,0.0
Signature.11,0.0226331558188,0.0505313912336
Signature.12,0.0,0.195173045436
Signature.13,0.0526502065795,0.260987343497
Signature.14,0.0,0.0937877940537
Signature.15,0.0,0.0
Signature.16,0.0,0.0
Signature.17,0.0,0.0
Signature.18,0.0,0.0
Signature.19,0.0336103428598,0.0
Signature.20,0.0,0.0880785827048
Signature.21,0.0,0.0512036980179
Signature.22,0.0,0.0136355636495
Signature.23,0.0502247656644,0.0
Signature.24,0.0,0.0123692246401
Signature.25,0.171488171086,0.0
Signature.26,0.171913040599,0.0459462475375
Signature.27,0.0,0.0
Signature.28,0.0,0.0
Signature.29,0.0,0.0
Signature.30,0.0167290629315,0.0
