,11,10,1:2,3:5:4:7:6:9:8
Signature.1,0.0,0.0,0.0168044921014,0.0
Signature.2,0.0800984503031,0.0,0.0919279039172,0.423409938468
Signature.3,0.0,0.0541929971141,0.0123370143973,0.0
Signature.4,0.0,0.0,0.0,0.0
Signature.5,0.0,0.0799932918025,0.0,0.0
Signature.6,0.0,0.0,0.177658097418,0.153017879311
Signature.7,0.0,0.0,0.0161272459443,0.0
Signature.8,0.0,0.0,0.154816536363,0.0
Signature.9,0.0,0.400519318109,0.0,0.0
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.0,0.0,0.0,0.0
Signature.12,0.0,0.12541224571,0.127824446741,0.0
Signature.13,0.0,0.0,0.0140817331608,0.0
Signature.14,0.347064043575,0.0,0.0137839102603,0.198150022486
Signature.15,0.28302904032,0.0,0.0,0.0
Signature.16,0.0427536874056,0.0205548044339,0.0,0.0
Signature.17,0.022664874065,0.0413032607895,0.0,0.0
Signature.18,0.0,0.166644712147,0.0,0.0
Signature.19,0.0573475809654,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0,0.0
Signature.21,0.0561500609075,0.0,0.0444474510078,0.0184996372193
Signature.22,0.0,0.0,0.0,0.0124967237296
Signature.23,0.0,0.0,0.0,0.0
Signature.24,0.0,0.0581790014129,0.0,0.0
Signature.25,0.0,0.0,0.0134921370667,0.0105399567169
Signature.26,0.0397696146098,0.053200368481,0.0748671012122,0.0
Signature.27,0.0711226478492,0.0,0.184990222266,0.18388584207
Signature.28,0.0,0.0,0.0568417081427,0.0
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.0,0.0,0.0,0.0
